Country,Market Role,Company,Type of identification,Identification of organisation,Website,Official Contact,Metering Grid Area,Metering Points served,Time of day for data availability ,Metering interval at the meter,Meter reading interval (Meter to DSO),Availability interval for 3rd parties,Permission Administrator
IT,DSO,"AZIENDA ENERGETICA PRATO SOCIETÀ COOPERATIVA IN BREVE ""EWP SOCIETÀ COOPERATIVA""",ID-Sogetto ARERA,1118,http://www.e-werk-prad.it,info@e-werk-prad.it,,n.a.,,,,,"AZIENDA ENERGETICA PRATO SOCIETÀ COOPERATIVA IN BREVE ""EWP SOCIETÀ COOPERATIVA"""
IT,DSO,AZIENDA ENERGETICA S. MARTINO SRL,ID-Sogetto ARERA,169,http://www.ewerk-stmartin.it/,ewerk.stmartin@rolmail.net,,n.a.,,,,,AZIENDA ENERGETICA S. MARTINO SRL
IT,DSO,AZIENDA PUBBLISERVIZI BRUNICO,ID-Sogetto ARERA,5,http://www.pubbliservizi.it,info@pubbliservizi.it,,n.a.,,,,,AZIENDA PUBBLISERVIZI BRUNICO
IT,DSO,AZIENDA RETI ELETTRICHE S.R.L.,ID-Sogetto ARERA,24541,https://www.aziendareti.com/,commerciale@aziendareti.com,,n.a.,,,,,AZIENDA RETI ELETTRICHE S.R.L.
IT,DSO,CAMUNA ENERGIA SRL,ID-Sogetto ARERA,1273,https://www.camunaenergia.eu,camunaenergia@camunaenergia.eu,,n.a.,,,,,CAMUNA ENERGIA SRL
IT,DSO,C.E.G. SOCIETA' COOPERATIVA ELETTRICA GIGNOD,ID-Sogetto ARERA,10,http://www.ceg-energia.it,amministrazione@cafl.it,,n.a.,,,,,C.E.G. SOCIETA' COOPERATIVA ELETTRICA GIGNOD
IT,DSO,CENTRALE ELETTRICA AHRNTAL,ID-Sogetto ARERA,1179,http://www.ahrntaler-e-werk.com,info@ahrntaler-e-werk.com,,n.a.,,,,,CENTRALE ELETTRICA AHRNTAL
IT,DSO,CENTRALE ELETTRICA S.N.C. COLZ SPESSA,ID-Sogetto ARERA,1708,http://www.energy-dis.it/colz/,info@energy-dis.it,,n.a.,,,,,CENTRALE ELETTRICA S.N.C. COLZ SPESSA
IT,DSO,COMUNE DI ANDALO,ID-Sogetto ARERA,542,http://www.comune.andalo.tn.it,tributi@comune.andalo.tn.it,,n.a.,,,,,COMUNE DI ANDALO
IT,DSO,COMUNE DI ANVERSA DEGLI ABRUZZI,ID-Sogetto ARERA,258,http://www.comune.anversadegliabruzzi.aq.it,ufficiotecnico@comunedianversa.it,,n.a.,,,,,COMUNE DI ANVERSA DEGLI ABRUZZI
IT,DSO,COMUNE DI BENETUTTI,ID-Sogetto ARERA,1367,http://www.comune.benetutti.ss.it,aec@comune.benetutti.ss.it,,n.a.,,,,,COMUNE DI BENETUTTI
IT,DSO,COMUNE DI BERCHIDDA,ID-Sogetto ARERA,44,http://www.comune.berchidda.ot.it/,aec@comune.berchidda.ot.it,,n.a.,,,,,COMUNE DI BERCHIDDA
IT,DSO,COMUNE DI CASTEL DEL MONTE,ID-Sogetto ARERA,349,http://www.comune.casteldelmonte.aq.it/,comune.casteldelmonte@gmail.com,,n.a.,,,,,COMUNE DI CASTEL DEL MONTE
IT,DSO,COMUNE DI CASTIGLIONE DI SICILIA,ID-Sogetto ARERA,259,http://www.comune.castiglionedisicilia.ct.it,idroelettrico@comune.castiglionedisicilia.ct.it,,n.a.,,,,,COMUNE DI CASTIGLIONE DI SICILIA
IT,DSO,COMUNE DI CAVALESE,ID-Sogetto ARERA,79,http://www.comunecavalese.it,aziendaelettrica@comunecavalese.it,,n.a.,,,,,COMUNE DI CAVALESE
IT,DSO,COMUNE DI CHIOMONTE,ID-Sogetto ARERA,64,http://www.aemcomunechiomonte.it,aem@comune.chiomonte.to.it,,n.a.,,,,,COMUNE DI CHIOMONTE
IT,DSO,COMUNE DI EXILLES,ID-Sogetto ARERA,297,http://www.comune.exilles.to.it,aziendaelettrica@comune.exilles.to.it,,n.a.,,,,,COMUNE DI EXILLES
IT,DSO,COMUNE DI FRANCAVILLA DI SICILIA,ID-Sogetto ARERA,314,http://www.secfrancavilladisicilia.it/,ufficioelettrico@comune.francavilladisicilia.me.it,,n.a.,,,,,COMUNE DI FRANCAVILLA DI SICILIA
IT,DSO,COMUNE DI MAGLIANO DI TENNA,ID-Sogetto ARERA,1755,http://www.comune.maglianoditenna.fm.it,ragioneria@comune.maglianoditenna.fm.it,,n.a.,,,,,COMUNE DI MAGLIANO DI TENNA
IT,DSO,COMUNE DI PACENTRO,ID-Sogetto ARERA,1391,http://www.comunepacentro.aq.it,tributi@comunepacentro.aq.it,,n.a.,,,,,COMUNE DI PACENTRO
IT,DSO,COMUNE DI PERDIFUMO,ID-Sogetto ARERA,1914,http://www.comune.perdifumo.sa.it/,,,n.a.,,,,,COMUNE DI PERDIFUMO
IT,DSO,COMUNE DI ROCCA PIA,ID-Sogetto ARERA,1879,https://www.comune.roccapia.aq.it,ufficioragioneria@comune.roccapia.aq.it,,n.a.,,,,,COMUNE DI ROCCA PIA
IT,DSO,COMUNE DI RONCO CANAVESE,ID-Sogetto ARERA,296,http://aemroncocanavese.it/,anagrafe@comune.roncocanavese.to.it,,n.a.,,,,,COMUNE DI RONCO CANAVESE
IT,DSO,COMUNE DI SANTO STEFANO DI SESSANIO,ID-Sogetto ARERA,2674,http://www.comunesantostefanodisessanio.aq.it/,anagrafe@comunesantostefanodisessanio.aq.it,,n.a.,,,,,COMUNE DI SANTO STEFANO DI SESSANIO
IT,DSO,COMUNE DI SARACINESCO,ID-Sogetto ARERA,1353,http://www.comune.saracinesco.rm.it,comunesaracinescorag@libero.it,,n.a.,,,,,COMUNE DI SARACINESCO
IT,DSO,COMUNE DI SELLA GIUDICARIE,ID-Sogetto ARERA,24663,http://www.comunesellagiudicarie.tn.it,comune@comune.sellagiudicarie.tn.it,,n.a.,,,,,COMUNE DI SELLA GIUDICARIE
IT,DSO,COMUNE DI SESSA CILENTO,ID-Sogetto ARERA,1909,http://www.comune.sessacilento.sa.it,sessac@tiscali.it,,n.a.,,,,,COMUNE DI SESSA CILENTO
IT,DSO,COMUNE DI SILANDRO,ID-Sogetto ARERA,14644,http://www.schlanders.it,,,n.a.,,,,,COMUNE DI SILANDRO
IT,DSO,COMUNE DI USSITA,ID-Sogetto ARERA,1812,http://www.comune.ussita.mc.it/,info@comune.ussita.mc.it,,n.a.,,,,,COMUNE DI USSITA
IT,DSO,COMUNE DI VILLA LATINA,ID-Sogetto ARERA,1627,http://www.comune.villalatina.fr.it,adiduc@tin.it,,n.a.,,,,,COMUNE DI VILLA LATINA
IT,DSO,CONSORZIO ELETTRICO DI POZZA DI FASSA,ID-Sogetto ARERA,172,http://www.consorzioelettrico.com,info@consorzioelettrico.com,,n.a.,,,,,CONSORZIO ELETTRICO DI POZZA DI FASSA
IT,DSO,CONSORZIO ELETTRICO DI STORO SOCIETA' COOPERATIVA,ID-Sogetto ARERA,731,http://www.cedis.info,cedis@cedis.info,,n.a.,,,,,CONSORZIO ELETTRICO DI STORO SOCIETA' COOPERATIVA
IT,DSO,CONSORZIO ELETTRICO INDUSTRIALE DI STENICO S.C.,ID-Sogetto ARERA,4,http://www.ceis-stenico.it,info@ceis-stenico.it,,n.a.,,,,,CONSORZIO ELETTRICO INDUSTRIALE DI STENICO S.C.
IT,DSO,CONSORZIO ELETTRICO PENNES,ID-Sogetto ARERA,622,http://www.egpens.it,info@egpens.it,,n.a.,,,,,CONSORZIO ELETTRICO PENNES
IT,DSO,CONSORZIO ENERGETICO VAL VENOSTA,ID-Sogetto ARERA,22678,http://www.vek.bz.it,info@vion.bz.it,,n.a.,,,,,CONSORZIO ENERGETICO VAL VENOSTA
IT,DSO,CONSORZIO PER I SERVIZI TERRITORIALI DEL NOCE - STN VAL DI SOLE,ID-Sogetto ARERA,22276,http://www.stnvaldisole.it,daniel.mosconi@stnvaldisole.it,,n.a.,,,,,CONSORZIO PER I SERVIZI TERRITORIALI DEL NOCE - STN VAL DI SOLE
IT,DSO,COOPERATIVA AZIENDA ELETTRICA RIDANNA,ID-Sogetto ARERA,2337,http://www.ewerk-ridnaun.it/,info@ewerk-ridnaun.it,,n.a.,,,,,COOPERATIVA AZIENDA ELETTRICA RIDANNA
IT,DSO,COOPERATIVA CENTRALE ELETTRICA FLERES,ID-Sogetto ARERA,508,https://www.ew-pflersch.it/it/energia-elettrica/,info@ew-pflersch.it,,n.a.,,,,,COOPERATIVA CENTRALE ELETTRICA FLERES
IT,DSO,COOPERATIVA ELETTRICA VALGIOVO,ID-Sogetto ARERA,851,http://www.energy-dis.it/jaufental/,info@ewerk-jaufental.it,,n.a.,,,,,COOPERATIVA ELETTRICA VALGIOVO
IT,DSO,COOPERATIVA PER L'UTILIZZO DI FONTI ENERGETICHE NOVA LEVANTE,ID-Sogetto ARERA,454,https://eg-welschnofen.e-bz.it,weg@welschnofen.net,,n.a.,,,,,COOPERATIVA PER L'UTILIZZO DI FONTI ENERGETICHE NOVA LEVANTE
IT,DSO,DEVAL,ID-Sogetto ARERA,1290,http://www.devalspa.it/,deval@pec.devalspa.it,,n.a.,,,,,DEVAL
IT,DSO,DISTRIBUZIONE ELETTRICA ADRIATICA S.P.A.,ID-Sogetto ARERA,23023,http://www.deaelettrica.it,dea@deaelettrica.it,,n.a.,,,,,DISTRIBUZIONE ELETTRICA ADRIATICA S.P.A.
IT,DSO,E-DISTRIBUZIONE S.P.A.,ID-Sogetto ARERA,435,http://www.e-distribuzione.it,info@e-distribuzione.com,,n.a.,,,,,E-DISTRIBUZIONE S.P.A.
IT,DSO,EDYNA SRL,ID-Sogetto ARERA,3255,http://www.edyna.net/,alessandro.randon@edyna.net,,n.a.,,,,,EDYNA SRL
IT,DSO,EGRA,ID-Sogetto ARERA,3286,http://www.energy-dis.it/egra/,egra@rolmail.net,,n.a.,,,,,EGRA
IT,DSO,ELEKTROWERK PREIMS GMBH,ID-Sogetto ARERA,1876,http://www.energy-dis.it/preims/,info@energy-dis.it,,n.a.,,,,,ELEKTROWERK PREIMS GMBH
IT,DSO,ENERGIE OFFIDA S.R.L.,ID-Sogetto ARERA,1629,http://www.energieoffida.it,info@energieoffida.it,,n.a.,,,,,ENERGIE OFFIDA S.R.L.
IT,DSO,E.U.M. SOC. COOP. PER L'ENERGIA E L'AMBIENTE MOSO,ID-Sogetto ARERA,501,http://www.eum.bz,info@eum.bz,,n.a.,,,,,E.U.M. SOC. COOP. PER L'ENERGIA E L'AMBIENTE MOSO
IT,DSO,EUP,ID-Sogetto ARERA,3288,http://eup.bz.it/,info@eup.bz.it,,n.a.,,,,,EUP
IT,DSO,E-WERKE DI PILLING HELGA & C. S.A.S. - KG,ID-Sogetto ARERA,533,http://www.energy-dis.it/groebner/,groebner@gmx.it,,n.a.,,,,,E-WERKE DI PILLING HELGA & C. S.A.S. - KG
IT,DSO,FAST WIND SPA,ID-Sogetto ARERA,2145,,FAST.WIND@LIERO.IT,,n.a.,,,,,FAST WIND SPA
IT,DSO,GANNEBACH SRL / GMBH,ID-Sogetto ARERA,858,http://www.e-werk.it,,,n.a.,,,,,GANNEBACH SRL / GMBH
IT,DSO,GEMEINDE STERZING / COMUNE DI VIPITENO,ID-Sogetto ARERA,805,http://www.vipiteno.eu,aziendaelettrica@vipiteno.eu,,n.a.,,,,,GEMEINDE STERZING / COMUNE DI VIPITENO
IT,DSO,GERMANO INDUSTRIE ELETTRICHE S.R.L.,ID-Sogetto ARERA,48,http://www.germano-srl.it,gie@germano-srl.it,,n.a.,,,,,GERMANO INDUSTRIE ELETTRICHE S.R.L.
IT,DSO,IDROELETTRICA VALCANALE DI MARIO GABRIELE MASSARUTTO E C. S.A.S.,ID-Sogetto ARERA,1906,http://www.idroelettricavalcanale.it,,,n.a.,,,,,IDROELETTRICA VALCANALE DI MARIO GABRIELE MASSARUTTO E C. S.A.S.
IT,DSO,IMPRESA CAMPO ELETTRICITA' I.C.EL. S.R.L.,ID-Sogetto ARERA,1,http://www.icelweb.it,icel@icelweb.it,,n.a.,,,,,IMPRESA CAMPO ELETTRICITA' I.C.EL. S.R.L.
IT,DSO,IMPRESA ELETTRICA D'ANNA E BONACCORSI S.R.L.,ID-Sogetto ARERA,43,https://www.dannabonaccorsi.com,ufficioamministrativo@dannabonaccorsi.it,,n.a.,,,,,IMPRESA ELETTRICA D'ANNA E BONACCORSI S.R.L.
IT,DSO,IMPRESA PRODUZIONE ENERGIA ELETTRICA PESENTI SRL,ID-Sogetto ARERA,1471,,,,n.a.,,,,,IMPRESA PRODUZIONE ENERGIA ELETTRICA PESENTI SRL
IT,DSO,INRETE DISTRIBUZIONE ENERGIA,ID-Sogetto ARERA,25367,http://www.inretedistribuzione.it,inrete_distribuzione@legalmail.it,,n.a.,,,,,INRETE DISTRIBUZIONE ENERGIA
IT,DSO,INTERESSENZA ELETTRICA VICINA ARMENTAROLA,ID-Sogetto ARERA,500,https://ew-armentarola.e-bz.it/it,,,n.a.,,,,,INTERESSENZA ELETTRICA VICINA ARMENTAROLA
IT,DSO,INTERESSENZA UTILIZZAZIONI IDRAULICHE PEDRACES - COSTALTA,ID-Sogetto ARERA,1569,http://www.werk-castalta.it,,,n.a.,,,,,INTERESSENZA UTILIZZAZIONI IDRAULICHE PEDRACES - COSTALTA
IT,DSO,IRETI S.P.A.,ID-Sogetto ARERA,3045,https://www.ireti.it/,posta@ireti.it,,n.a.,,,,,IRETI S.P.A.
IT,DSO,KIRCHLER SRL,ID-Sogetto ARERA,25427,http://www.energy-dis.it/kirchler,Info@arturkirchler.com,,n.a.,,,,,KIRCHLER SRL
IT,DSO,LD RETI S.R.L.,ID-Sogetto ARERA,860,http://www.ldreti.it,segreteria@ldreti.it,,n.a.,,,,,LD RETI S.R.L.
IT,DSO,ODOARDO ZECCA S.R.L.,ID-Sogetto ARERA,242,http://www.zeccaonline.it,segreteria@zeccaonline.it,,n.a.,,,,,ODOARDO ZECCA S.R.L.
IT,DSO,OFFICINA ELETTRICA SAN VIGILIO DI MAREBBE S.P.A.,ID-Sogetto ARERA,20,http://www.oesv.bz.it,info@oesv.bz.it,,n.a.,,,,,OFFICINA ELETTRICA SAN VIGILIO DI MAREBBE S.P.A.
IT,DSO,RETI DI. VOGHERA S.R.L.,ID-Sogetto ARERA,28120,https://www.retidivoghera.it/,info@retidivoghera.it,,n.a.,,,,,RETI DI. VOGHERA S.R.L.
IT,DSO,RETI VALTELLINA VALCHIAVENNA S.R.L. UNIPERSONALE,ID-Sogetto ARERA,28064,http://www.valtellinarevv.it,revv@valtellinarevv.it,,n.a.,,,,,RETI VALTELLINA VALCHIAVENNA S.R.L. UNIPERSONALE
IT,DSO,RETIPIÙ SRL,ID-Sogetto ARERA,353,http://www.retipiu.it,info@retipiu.it,,n.a.,,,,,RETIPIÙ SRL
IT,DSO,SEA S.C.,ID-Sogetto ARERA,91,http://www.sea.bz.it,info@sea.bz.it,,n.a.,,,,,SEA S.C.
IT,DSO,SEA SOC. ELETTRICA DI FAVIGNANA S.P.A.,ID-Sogetto ARERA,82,http://www.seafavignana.com,info@seafavignana.com,,n.a.,,,,,SEA SOC. ELETTRICA DI FAVIGNANA S.P.A.
IT,DSO,SECAB SOCIETÀ COOPERATIVA,ID-Sogetto ARERA,1051,http://www.secab.it,secab@secab.it,,n.a.,,,,,SECAB SOCIETÀ COOPERATIVA
IT,DSO,S.EL.I.S. LAMPEDUSA S.P.A.,ID-Sogetto ARERA,14,http://www.grupposofip.it/,lampedusa@selis.it,,n.a.,,,,,S.EL.I.S. LAMPEDUSA S.P.A.
IT,DSO,S.EL.I.S. LINOSA S.P.A.,ID-Sogetto ARERA,15,http://www.grupposofip.it/,linosa@selis.it,,n.a.,,,,,S.EL.I.S. LINOSA S.P.A.
IT,DSO,S.EL.I.S. MARETTIMO S.P.A.,ID-Sogetto ARERA,16,http://www.grupposofip.it/,marettimo@selis.it,,n.a.,,,,,S.EL.I.S. MARETTIMO S.P.A.
IT,DSO,SET DISTRIBUZIONE S.P.A.,ID-Sogetto ARERA,198,https://www.set.tn.it,info@setdistribuzione.it,,n.a.,,,,,SET DISTRIBUZIONE S.P.A.
IT,DSO,SIE - SOCIETA IMPIANTI ELETTRICI S.R.L.,ID-Sogetto ARERA,1208,http://www.siegiglio.it,martelli.giovanni@siegiglio.it,,n.a.,,,,,SIE - SOCIETA IMPIANTI ELETTRICI S.R.L.
IT,DSO,S.I.E.C.  SOC. COOP.,ID-Sogetto ARERA,361,http://www.siec-chiavenna.it,siec@siec-chiavenna.it,,n.a.,,,,,S.I.E.C.  SOC. COOP.
IT,DSO,S.I.P.P.I.C. S.P.A.,ID-Sogetto ARERA,1571,http://www.sippicspa.it,sippicspa@yahoo.it,,n.a.,,,,,S.I.P.P.I.C. S.P.A.
IT,DSO,S.MED.E. PANTELLERIA S.P.A.,ID-Sogetto ARERA,17,http://www.grupposofip.it/,pantelleria@smede.it,,n.a.,,,,,S.MED.E. PANTELLERIA S.P.A.
IT,DSO,SOC. COOP. AZ. ELETTRICA MONGUELFO,ID-Sogetto ARERA,1069,https://www.ewerk-welsberg.com/it/,,,n.a.,,,,,SOC. COOP. AZ. ELETTRICA MONGUELFO
IT,DSO,SOC. ELETTRICA LIPARESE S.R.L.,ID-Sogetto ARERA,1093,http://www.selenergia.it,sellip@tin.it,,n.a.,,,,,SOC. ELETTRICA LIPARESE S.R.L.
IT,DSO,SOCIET` COOPERATIVA CANTUCCIO,ID-Sogetto ARERA,126,http://www.winkel.it,gen@winkel.it,,n.a.,,,,,SOCIET` COOPERATIVA CANTUCCIO
IT,DSO,SOCIETÀ COOPERATIVA ELETTRICA DI DISTRIBUZIONE CAMPO TURES,ID-Sogetto ARERA,3373,http://www.evg.bz.it/index.php?lang=de,info@evg.bz.it,,n.a.,,,,,SOCIETÀ COOPERATIVA ELETTRICA DI DISTRIBUZIONE CAMPO TURES
IT,DSO,SOCIETA' COOPERATIVA ELETTRICITA' BADIA,ID-Sogetto ARERA,1911,http://www.energy-dis.it/badia/,sevdata@sev.bz.it,,n.a.,,,,,SOCIETA' COOPERATIVA ELETTRICITA' BADIA
IT,DSO,"SOCIETÀ COOPERATIVA ENERGETICA SAN MARTINO-VALDURNA, IN BREVE ""ERD""",ID-Sogetto ARERA,1588,http://www.erd.bz.it,info@erd.bz.it,,n.a.,,,,,"SOCIETÀ COOPERATIVA ENERGETICA SAN MARTINO-VALDURNA, IN BREVE ""ERD"""
IT,DSO,SOCIETÀ COOPERATIVA IDROELETTRICA DI FORNI DI SOPRA,ID-Sogetto ARERA,749,http://www.sci-forni.it/,info@sci-forni.it,,n.a.,,,,,SOCIETÀ COOPERATIVA IDROELETTRICA DI FORNI DI SOPRA
IT,DSO,SOCIETA' ELETTRICA IN MORBEGNO SOCIETA' COOPERATIVA PER AZIONI,ID-Sogetto ARERA,726,https://www.sem-morbegno.it/,mrapella@sem-morbegno.it,,n.a.,,,,,SOCIETA' ELETTRICA IN MORBEGNO SOCIETA' COOPERATIVA PER AZIONI
IT,DSO,SOCIETA' ELETTRICA LA BRUZOLESE S.R.L.,ID-Sogetto ARERA,123,http://www.labruzoleseelettrica.it,posta@pec.labruzoleseelettrica.it,,n.a.,,,,,SOCIETA' ELETTRICA LA BRUZOLESE S.R.L.
IT,DSO,SOCIETA ELETTRICA PONZESE,ID-Sogetto ARERA,158,http://www.societaelettricaponzese.it,sep@societaelettricaponzese.it,,n.a.,,,,,SOCIETA ELETTRICA PONZESE
IT,DSO,SOCIETÀ NOLANA PER IMPRESE ELETTRICHE,ID-Sogetto ARERA,548,http://www.snie.it,distribuzione@snie.it,,n.a.,,,,,SOCIETÀ NOLANA PER IMPRESE ELETTRICHE
IT,DSO,UNARETI SPA,ID-Sogetto ARERA,1247,http://www.unareti.it,info@unareti.it,,n.a.,,,,,UNARETI SPA
IT,DSO,V-RETI S.P.A.,ID-Sogetto ARERA,301,http://www.v-reti.it,segreteria@v-reti.it,,n.a.,,,,,V-RETI S.P.A.
NL,DSO,Westland Infra Netbeheer,EAN code,8716878999996,https://www.westlandinfra.nl/,n.a.,,122231,,,,,Gegevens Uitwisselings Entiteit (BAS)
NL,DSO,Coteq Netbeheer,EAN code,8716916000004,https://coteqnetbeheer.nl/,info@coteq.nl,,198978,,,,,Gegevens Uitwisselings Entiteit (BAS)
NL,DSO,Stedin Net,EAN code,8716874000009,https://www.stedin.net/,n.a.,,4326391,,,,,Gegevens Uitwisselings Entiteit (BAS)
NL,DSO,Rendo,EAN code,8716912000008,https://www.rendogroep.nl/,info@rendo.nl,,138840,,,,,Gegevens Uitwisselings Entiteit (BAS)
NL ,DSO,Liander,EAN code,8716871000002,https://www.liander.nl/,n.a.,,5982216,,,,,Gegevens Uitwisselings Entiteit (BAS)
NL ,DSO,Enexis,EAN code,8716879000004,https://www.enexis.nl/,n.a.,,5244987,,,,,Gegevens Uitwisselings Entiteit (BAS)
FI,National Hub,Fingrid Datahub,GS1/GLN,,https://palvelut.datahub.fi/en,datahub@fingrid.fi,All distribution systems,4000000, Before noon , 1 hour or 15 minutes (75% / 25%), Daily , Up to 6 years ,Fingrid Datahub
