Country,Market Role,Company,Short Name,Type of identification,Identification of organisation,Approximate wait time for user to see request,Jumpoff URL to Permission Portal,Website,Official Contact,Permission Management Responsibility,Documentation of access,Identity service provider,Eligible party on-boarding,Eligible party test on-boarding,Price list for access to data by eligible parties
AT,DSO,E-Werk Stubenberg eGen,E-Werk Stubenberg,AT-Code,AT008910,,-,,office@e-werk-stubenberg.at,E-Werk Stubenberg eGen,https://www.ebutilities.at/home.html,E-Werk Stubenberg eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,eww AG,eww AG,AT-Code,AT003300,,https://mein.eww.at/de/login,,info@eww.at,eww AG,https://www.ebutilities.at/home.html,eww AG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Feistritzthaler Elektrizitätswerk eGen,Feistritzthaler Elektrizitätswerk,AT-Code,AT008770,,-,,s.brantweiner@ewerk-growi.at,Feistritzthaler Elektrizitätswerk eGen,https://www.ebutilities.at/home.html,Feistritzthaler Elektrizitätswerk eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Feistritzwerke-STEWEAG-GmbH,Feistritzwerke STEWEAG,AT-Code,AT008130,,https://kundenportal.feistritzwerke.at/benutzer/login,,office@feistritzwerke.at,Feistritzwerke-STEWEAG-GmbH,https://www.ebutilities.at/home.html,Feistritzwerke-STEWEAG-GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Forstverwaltung Seehof GmbH,Forstverwaltung Seehof,AT-Code,AT002280,,-,,office@kupelwieser-forst.at,Forstverwaltung Seehof GmbH,https://www.ebutilities.at/home.html,Forstverwaltung Seehof GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Gertraud Schafler GmbH,Gertraud Schafler,AT-Code,AT008690,,-,,office@schaflerstrom.at,Gertraud Schafler GmbH,https://www.ebutilities.at/home.html,Gertraud Schafler GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG","Getzner, Mutter & Cie.",AT-Code,AT006240,,-,,office.gmc@getzner.at,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG",https://www.ebutilities.at/home.html,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG",https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,HALLAG Kommunal GmbH,HALLAG Kommunal GmbH,AT-Code,AT005120,,https://kundenportal.hall.ag/,https://www.hall.ag/,c.neuzil@hall.ag,HALLAG Kommunal GmbH,https://www.ebutilities.at/home.html,HALLAG Kommunal GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Heinrich Polsterer UND MITGES.GES.N.B.R.,,AT-Code,AT002400,,-,,h.polsterer@polsterer.co.at,Heinrich Polsterer UND MITGES.GES.N.B.R.,https://www.ebutilities.at/home.html,Heinrich Polsterer UND MITGES.GES.N.B.R.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Innsbrucker Kommunalbetriebe AG,Innsbrucker Kommunalbetriebe,AT-Code,AT005100,,https://www.ikb.at/kundenservice/ikb-direkt,,snot@ikb.at,Innsbrucker Kommunalbetriebe AG,https://www.ebutilities.at/home.html,Innsbrucker Kommunalbetriebe AG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Joh. Pengg Holding Gesellschaft m.b.H.,Joh. Pengg Holding,AT-Code,AT008930,,http://www.pengg-holding.com/,,pengg.holding@aon.at,Joh. Pengg Holding Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Joh. Pengg Holding Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,K. u. F. Drack Gesellschaft m.b.H. & Co. KG.,K. u. F. Drack,AT-Code,AT003520,,-,,office@kfd.at,K. u. F. Drack Gesellschaft m.b.H. & Co. KG.,https://www.ebutilities.at/home.html,K. u. F. Drack Gesellschaft m.b.H. & Co. KG.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,KARLSTROM e.U.,KARLSTROM,AT-Code,AT003470,,-,,service@karlstrom.at,KARLSTROM e.U.,https://www.ebutilities.at/home.html,KARLSTROM e.U.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Klausbauer Wasser Kraft GesmbH & Co KG,Klausbauer Wasser Kraft,AT-Code,AT008250,,-,,office@klausbauerwasserkraft.at,Klausbauer Wasser Kraft GesmbH & Co KG,https://www.ebutilities.at/home.html,Klausbauer Wasser Kraft GesmbH & Co KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,KNG-Kärnten Netz GmbH,KNG-Kärnten Netz,AT-Code,AT007000,,https://services.kaerntennetz.at/meinPortal/login.aspx?service=Services,,office@kaerntennetz.at,KNG-Kärnten Netz GmbH,https://www.ebutilities.at/home.html,KNG-Kärnten Netz GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kommunalbetriebe Hopfgarten GmbH,Kommunalbetriebe Hopfgarten,AT-Code,AT005330,,https://kundenportal.ewhopf.at/,,office@kbh.at,Kommunalbetriebe Hopfgarten GmbH,https://www.ebutilities.at/home.html,Kommunalbetriebe Hopfgarten GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kommunalbetriebe Rinn GmbH,Kommunalbetriebe Rinn,AT-Code,AT005650,,https://kundenportal.kbrinn.at/,,office@kbrinn.at,Kommunalbetriebe Rinn GmbH,https://www.ebutilities.at/home.html,Kommunalbetriebe Rinn GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kraftwerk Glatzing-Rüstorf eGen,Kraftwerk Glatzing-Rüstorf,AT-Code,AT003510,,-,,kwg@kwg.at,Kraftwerk Glatzing-Rüstorf eGen,https://www.ebutilities.at/home.html,Kraftwerk Glatzing-Rüstorf eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kraftwerk Reinisch GmbH,Kraftwerk Reinisch,AT-Code,AT005690,,-,,office@kw-reinisch.at,Kraftwerk Reinisch GmbH,https://www.ebutilities.at/home.html,Kraftwerk Reinisch GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kraftwerke Haim K.G.,Kraftwerke Haim,AT-Code,AT005210,,https://portal.kraftwerkhaim.at/,,info@kraftwerkhaim.at,Kraftwerke Haim K.G.,https://www.ebutilities.at/home.html,Kraftwerke Haim K.G.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Kraut E-Werk KG,Kraut E-Werk,AT-Code,AT008970,,-,,reinhard.kraut@aon.at,Kraut E-Werk KG,https://www.ebutilities.at/home.html,Kraut E-Werk KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs,Marktgemeinde Göstling,AT-Code,AT002120,,-,,b.blamauer@goestling.com,Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs,https://www.ebutilities.at/home.html,Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Licht- und Kraftstromvertrieb der Gemeinde Opponitz,Gemeinde Opponitz,AT-Code,AT002300,,https://www.endkundenwebportal.at/enVIEW.Portal/Account/Login?ReturnUrl=%2FenVIEW.Portal%2F,,gemeinde@opponitz.gv.at,Licht- und Kraftstromvertrieb der Gemeinde Opponitz,https://www.ebutilities.at/home.html,Licht- und Kraftstromvertrieb der Gemeinde Opponitz,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Licht- und Kraftvertrieb der Gemeinde Hollenstein,Gemeinde Hollenstein,AT-Code,AT002130,,https://hollenstein-davidvo.mein-portal.at/kundenportal,,lkv@hollenstein.at,Licht- und Kraftvertrieb der Gemeinde Hollenstein,https://www.ebutilities.at/home.html,Licht- und Kraftvertrieb der Gemeinde Hollenstein,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Lichtgenossenschaft Neukirchen eGen,Lichtgenossenschaft Neukirchen,AT-Code,AT004120,,-,,info@lichtgenossenschaft.at,Lichtgenossenschaft Neukirchen eGen,https://www.ebutilities.at/home.html,Lichtgenossenschaft Neukirchen eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,LINZ NETZ GmbH,LINZ NETZ GmbH,AT-Code,AT003100,,https://sso.linznetz.at/auth/realms/netzsso/protocol/openid-connect/auth/?client_id=portal&scope=openid&response_type=code&state=3052b878-82c6-4830-9424-416ba63dd2a7&redirect_uri=https://www.linznetz.at/portal/de/home/online_services/serviceportal/mein_serviceportal#,,office@linznetz.at,LINZ NETZ GmbH,https://www.ebutilities.at/home.html,LINZ NETZ GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ,E-Werk Tassotti,AT-Code,AT008990,,-,,tassotti@gmail.com,Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ,https://www.ebutilities.at/home.html,Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH,Marktgemeinde Neumarkt,AT-Code,AT008420,,https://neumarkt.mein-portal.at/kundenportal,,g.hofer@ew-nmkt.at,Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH,https://www.ebutilities.at/home.html,Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,"Marktgemeinde Niklasdorf, EVU Niklasdorf",Marktgemeinde Niklasdorf,AT-Code,AT008330,,-,,evu@niklasdorf.steiermark.at,"Marktgemeinde Niklasdorf, EVU Niklasdorf",https://www.ebutilities.at/home.html,"Marktgemeinde Niklasdorf, EVU Niklasdorf",https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Montafonerbahn AG,Montafonerbahn,AT-Code,AT006220,,https://identity.energieportal.montafonerbahn.at/Identity/Login?ReturnUrl=http%3A%2F%2Fidentity%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dcustomer-portal%26redirect_uri%3Dhttp%253A%252F%252Fvkwweb%252Fsignin-oidc%26response_type%3Dcode%26scope%3Dopenid%2520profile%2520phone%2520email%2520offline_access%2520sap%2520applogs%26code_challenge%3DP0N6HlQI4hNPJfRt6-E9Epu-PiGRv6dd5aKlJNAD1RU%26code_challenge_method%3DS256%26response_mode%3Dform_post%26nonce%3D638161072218576729.Y2Q3MjdiNWItNmU3OS00ZjRiLTg1NzctYzZjN2M0ZjdlYjVhODBjZDI4Y2ItOTM1Ny00ZTU3LTg4ZjEtZTUyODdiZmQ5NzM1%26state%3DCfDJ8Gp6lLOFoFJGpGn75rCAc0Qr-JEHjDcCTsyv0Cka-_ZiuwUa56oe2jr7jQVVvRyI2_c7XBZt-jE9Dxc4yBzmfnZQTUxzpaZyEoQJfQ_Uz5RTt6N8RhdSGLbR6cqWQmrCuRHYpA5ULyQPGbSrNhC3vzXh3m9iSDNcpTjORUPNdhr4Hb8d7tI0HimpU_8nnGxVu0waPYNRSgg7VW5M_I52cHQN17E1bjT1NTTNUcW175gTFfH2Hjb1PRHxO1fWXUj1X19vJ0_iontzHCijn3geaZIeYVqcLT9rPa9ZTcH3AP0wgd1dqPxsrWUlkLUnbv8_s7g_zIcgpSvc8dbh_9SeJ-1l5lOBAf8Q135RZKKBKaSopKL-l12nLFccWqfJYXpQ7F5wQ6YPimb15MgBlOjrv5rQ08pW6ufRWzGYVvnQ5K4bbFnIpQpjrNwsm00Oe0bBNy-AJXG58FQkhlXFI3TbQqM%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D6.10.0.0,,info@montafonerbahn.at,Montafonerbahn AG,https://www.ebutilities.at/home.html,Montafonerbahn AG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Murauer Stadtwerke GmbH,Murauer Stadtwerke,AT-Code,AT008430,,-,,tarifstelle@stadtwerke-murau.at,Murauer Stadtwerke GmbH,https://www.ebutilities.at/home.html,Murauer Stadtwerke GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Netz Burgenland GmbH,Netz Burgenland,AT-Code,AT009000,,https://login.netzburgenland.at:8453/auth/realms/netzburgenland/protocol/openid-connect/auth?redirect_uri=https%3A%2F%2Fsmartmeter.netzburgenland.at%2FEnView.Portal%2Fowin%2Fsecurity%2Fkeycloak%2FKeycloakAuthentication%2Fcallback&response_type=code&scope=openid+username&state=oidc_state_fc4c7074263140efbf69665aca3689c8&client_id=smartmeter-portal&client_secret=c61effac-658f-4973-a089-c03e3d539911,,info@netzburgenland.at,Netz Burgenland GmbH,https://www.ebutilities.at/home.html,Netz Burgenland GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Netz Niederösterreich GmbH,Netz Niederösterreich,AT-Code,AT002000,,https://smartmeter.netz-noe.at/#/,,pdf-rechnung@netz-noe.at ,Netz Niederösterreich GmbH,https://www.ebutilities.at/home.html,Netz Niederösterreich GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Netz Oberösterreich GmbH,Netz Oberösterreich,AT-Code,AT003000,,https://eservice.netzooe.at/app/login,,service@netzooe.at,Netz Oberösterreich GmbH,https://www.ebutilities.at/home.html,Netz Oberösterreich GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,P.K. Energieversorgungs-GmbH,P.K. Energieversorgungs-GmbH,AT-Code,AT008630,,-,,strom@kiendler.at,P.K. Energieversorgungs-GmbH,https://www.ebutilities.at/home.html,P.K. Energieversorgungs-GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Plövner Schmiede Betriebs GesmbH,Plövner Schmiede,AT-Code,AT005670,,-,,info@ploevnerschmiede.at,Plövner Schmiede Betriebs GesmbH,https://www.ebutilities.at/home.html,Plövner Schmiede Betriebs GesmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Polsterer Kerres Ruttin Holding GmbH,Polsterer Kerres Ruttin,AT-Code,AT002270,,https://www.polsterer-holding.at/?menu=12&request=9000,,office@polsterer-holding.at,Polsterer Kerres Ruttin Holding GmbH,https://www.ebutilities.at/home.html,Polsterer Kerres Ruttin Holding GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Revertera'sches E-Werk,Revertera'sches E-Werk,AT-Code,AT003540,,https://revertera.verbrauch.at/auth/login?returnUrl=%2Fauth%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dportal-revertera%26redirect_uri%3Dhttps%253A%252F%252Frevertera.verbrauch.at%252Fportal%252Fsignin-oidc%26response_type%3Dcode%2520id_token%26scope%3Dopenid%2520profile%26response_mode%3Dform_post%26nonce%3D638161073851327464.ZjE0Y2UwMTEtYmUxNy00NDJiLThhMmUtZDRiNzc3NzNhZjNhMDdlODE1NWQtYjQ2OC00NTllLWFiMDItZDMxOWRjY2YzMGRl%26state%3DCfDJ8GjbU5vvFE5MuZUsWB84EY-6ncgh86KzcFQAkIcNVginKpyjiHxT_epefWoGVKcioviVTjn5vJIlEWAf5p7E2-aZGQNGQWeehgmyaBw_PXu8-QjuxEMObKNWa3dk8Ggytk5IXqvvSCxX-iJilMHffAuT437IYKKi1vBJ6ps4yOajaRsLsK7VkOa3eh0lV7eK-_cLm4hh70nqHh0AlF1Id0W2T4xupXH2zYrxgmWcCOCAHEw1EH6NGK-z64VxlNpytWhWTJYqbR6xUG3aQUYGJOvB0ug3JIkGXiG5z_7vuCrfDOEndLNk_L-phTXmC6AujGQ_6jIItrunr7alokCBEPRn33bSIb7Kk9yN8KZERVu2%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D5.3.0.0,https://www.revertera.at/,strom@revertera.at,Revertera'sches E-Werk,https://www.ebutilities.at/home.html,Revertera'sches E-Werk,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Salzburg Netz GmbH,Salzburg Netz,AT-Code,AT004000,,https://login.salzburgnetz.at/login.salzburgnetz.at/B2C_1A_signup_signin/oauth2/v2.0/authorize?response_type=token%20id_token&client_id=2d97aeeb-ea30-444e-9a2b-b91c0c6a4d68&state=VklWLURFRzEzMnA4eTJmR2xwSVNTUE1wMDZEQkVmYkw5NmdjfkdJaWtUQ3lN&redirect_uri=https%3A%2F%2Fportal.salzburgnetz.at&scope=openid%20https%3A%2F%2Flogin.salzburgnetz.at%2F2d97aeeb-ea30-444e-9a2b-b91c0c6a4d68%2Fuser_impersonation&nonce=VklWLURFRzEzMnA4eTJmR2xwSVNTUE1wMDZEQkVmYkw5NmdjfkdJaWtUQ3lN,https://www.salzburgnetz.at/,office@salzburg-ag.at,Salzburg Netz GmbH,https://www.ebutilities.at/home.html,Salzburg Netz GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ","Schwarz, Wagendorffer & Co",AT-Code,AT008850,,-,https://www.ewerk.at/,office@ewerk.at,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ",https://www.ebutilities.at/home.html,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ",https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtbetriebe Mariazell GmbH,Stadtbetriebe Mariazell,AT-Code,AT008440,,https://mariazell-davidvo.mein-portal.at/kundenportal,https://www.sbm.or.at/,office@sbm.or.at,Stadtbetriebe Mariazell GmbH,https://www.ebutilities.at/home.html,Stadtbetriebe Mariazell GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Städtische Betriebe Rottenmann GmbH,Städtische Betriebe Rottenmann,AT-Code,AT008350,,http://www.sb-rottenmann.at/login,http://www.sb-rottenmann.at/,office.sbr@rottenmann.at,Städtische Betriebe Rottenmann GmbH,https://www.ebutilities.at/home.html,Städtische Betriebe Rottenmann GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Amstetten ,Stadtwerke Amstetten ,AT-Code,AT002110,,https://amstetten-davidvo.mein-portal.at/kundenportal,https://stadtwerke.amstetten.at/home/,,Stadtwerke Amstetten ,https://www.ebutilities.at/home.html,Stadtwerke Amstetten ,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Bruck an der Mur GmbH,Stadtwerke Bruck an der Mur,AT-Code,AT008140,,https://bruck-davidvo.mein-portal.at/kundenportal,https://www.stadtwerke-bruck.at/,office@stadtwerke-bruck.at,Stadtwerke Bruck an der Mur GmbH,https://www.ebutilities.at/home.html,Stadtwerke Bruck an der Mur GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Feldkirch,Stadtwerke Feldkirch,AT-Code,AT006110,,https://swf-portal.stadtwerke-feldkirch.at/index.php,https://www.stadtwerke-feldkirch.at/,kundencenter@stadtwerke-feldkirch.at,Stadtwerke Feldkirch,https://www.ebutilities.at/home.html,Stadtwerke Feldkirch,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Fürstenfeld GmbH,Stadtwerke Fürstenfeld,AT-Code,AT008150,,-,http://www.stwff.at/,lang@stwff.at,Stadtwerke Fürstenfeld GmbH,https://www.ebutilities.at/home.html,Stadtwerke Fürstenfeld GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Hartberg Energieversorgungs GmbH,Stadtwerke Hartberg,AT-Code,AT008470,,https://hartberg.mein-portal.at/kundenportal,https://www.stadtwerke-hartberg.at/,stadtwerke@stadtwerke-hartberg.at,Stadtwerke Hartberg Energieversorgungs GmbH,https://www.ebutilities.at/home.html,Stadtwerke Hartberg Energieversorgungs GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Imst,Stadtwerke Imst,AT-Code,AT005370,,https://kundenportal.stwimst.at/,https://www.stwimst.at/,stadtwerke@stwimst.at,Stadtwerke Imst,https://www.ebutilities.at/home.html,Stadtwerke Imst,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Judenburg Aktiengesellschaft,Stadtwerke Judenburg,AT-Code,AT008160,,https://judenburg.mein-portal.at/kundenportal,https://stadtwerke.co.at/,office@stadtwerke.co.at,Stadtwerke Judenburg Aktiengesellschaft,https://www.ebutilities.at/home.html,Stadtwerke Judenburg Aktiengesellschaft,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Kapfenberg GmbH,Stadtwerke Kapfenberg,AT-Code,AT008170,,https://services.stadtwerke-kapfenberg.at/Portal/Services.aspx,https://www.stadtwerke-kapfenberg.at/start.html,office@stadtwerke-kapfenberg.at,Stadtwerke Kapfenberg GmbH,https://www.ebutilities.at/home.html,Stadtwerke Kapfenberg GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Kitzbühel e.U.,Stadtwerke Kitzbühel,AT-Code,AT005130,,https://portal.stadtwerke-kitzbuehel.at/?page=registration,https://www.stadtwerke-kitzbuehel.at/,office@stwk.kitz.net,Stadtwerke Kitzbühel e.U.,https://www.ebutilities.at/home.html,Stadtwerke Kitzbühel e.U.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Köflach GmbH,Stadtwerke Köflach,AT-Code,AT008180,,https://koeflach.mein-portal.at/kundenportal,https://www.stadtwerke-koeflach.at/,office@stadtwerke-koeflach.at,Stadtwerke Köflach GmbH,https://www.ebutilities.at/home.html,Stadtwerke Köflach GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Kufstein GmbH,Stadtwerke Kufstein,AT-Code,AT005140,,https://portal.stwk.at/,https://www.stwk.at/,kundenberatung-backoffice@stwk.at,Stadtwerke Kufstein GmbH,https://www.ebutilities.at/home.html,Stadtwerke Kufstein GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Mürzzuschlag Gesellschaft m.b.H.,Stadtwerke Mürzzuschlag,AT-Code,AT008190,,https://muerzzuschlag.mein-portal.at/kundenportal,https://www.stadtwerke-mz.at/,office@stwmz.at;,Stadtwerke Mürzzuschlag Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Stadtwerke Mürzzuschlag Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Schwaz GmbH,Stadtwerke Schwaz,AT-Code,AT005150,,https://kundenportal.stadtwerkeschwaz.at/,https://www.stadtwerkeschwaz.at/,info@stadtwerkeschwaz.at,Stadtwerke Schwaz GmbH,https://www.ebutilities.at/home.html,Stadtwerke Schwaz GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Trofaiach Gesellschaft m.b.H.,Stadtwerke Trofaiach,AT-Code,AT008490,,https://trofaiach-davidvo.mein-portal.at/kundenportal,https://stadtwerke-trofaiach.at/,office@stadtwerke-trofaiach.at,Stadtwerke Trofaiach Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Stadtwerke Trofaiach Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Voitsberg GmbH,Stadtwerke Voitsberg,AT-Code,AT008120,,https://voitsberg.mein-portal.at/kundenportal,https://www.stadtwerke-voitsberg.at/,office@stadtwerkevoitsberg.at,Stadtwerke Voitsberg GmbH,https://www.ebutilities.at/home.html,Stadtwerke Voitsberg GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stadtwerke Wörgl GmbH,Stadtwerke Wörgl,AT-Code,AT005160,,https://kundenportal.stadtwerke.woergl.at/,https://www.stww.at/,info@stww.at,Stadtwerke Wörgl GmbH,https://www.ebutilities.at/home.html,Stadtwerke Wörgl GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Stromnetz Graz GmbH & Co KG,Stromnetz Graz,AT-Code,AT008100,,https://www.stromnetz-graz.at/sgg/customer/account/login/,https://www.stromnetz-graz.at/,office@stromnetz-graz.at,Stromnetz Graz GmbH & Co KG,https://www.ebutilities.at/home.html,Stromnetz Graz GmbH & Co KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,TINETZ-Tiroler Netze GmbH,TINETZ-Tiroler Netze,AT-Code,AT005000,,https://kundenportal.tinetz.at/,https://www.tinetz.at/,sc@tinetz.at,TINETZ-Tiroler Netze GmbH,https://www.ebutilities.at/home.html,TINETZ-Tiroler Netze GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
